Brand,Function,Category,Name,link
La Mer,moisturizer,cream,La Mer Crème De La Mer,https://www.skincarisma.com/products/la-mer/creme-de-la-mer/ingredient_list#info-section
La Mer,moisturizer,cream,La Mer The Moisturizing Gel Cream,https://www.skincarisma.com/products/la-mer/the-moisturizing-gel-cream/ingredient_list#info-section
La Mer,moisturizer,cream,La Mer The Moisturizing Lotion,https://www.skincarisma.com/products/la-mer/the-moisturizing-lotion/ingredient_list#info-section
La Mer,moisturizer,cream,La Mer The Moisturizing Soft Cream,https://www.skincarisma.com/products/la-mer/the-moisturizing-soft-cream/ingredient_list#info-section
Weleda,moisturizer,cream,Weleda Skin Food,https://www.skincarisma.com/products/weleda/skin-food/ingredient_list#info-section
Nivea,moisturizer,cream,Nivea Crème,https://www.skincarisma.com/products/nivea/creme-9e58dae7-ccac-4817-9407-bb6e64db7c5e/ingredient_list#info-section
Pond's,anti-aging,cream,Pond's Rejuveness Anti-Wrinkle Cream,https://www.skincarisma.com/products/pond-s/rejuveness-anti-wrinkle-cream/ingredient_list#info-section
Olay,cream,night cream,Olay Regenerist Night Recovery Cream,https://www.skincarisma.com/products/olay/regenerist-night-recovery-cream
La Prairie,moisturizer,cream,La Prairie White Caviar Illuminating Cream,https://www.skincarisma.com/products/la-prairie/white-caviar-illuminating-cream/ingredient_list#info-section
La Prairie,moisturizer,cream,La Prairie Skin Caviar Luxe Cream,https://www.skincarisma.com/products/la-prairie/skin-caviar-luxe-cream/ingredient_list#info-section
La Prairie,moisturizer,cream,La Prairie Cellular Radiance Cream,https://www.skincarisma.com/products/la-prairie/cellular-radiance-cream/ingredient_list#info-section
La Prairie,anti-aging,day cream,La Prairie Anti-Aging Day Cream SPF 30,https://www.skincarisma.com/products/la-prairie/anti-aging-day-cream-spf-30/ingredient_list#info-section
La Prairie,moisturizer,cream,La Prairie Cellular Cream Platinum Rare,https://www.skincarisma.com/products/la-prairie/cellular-cream-platinum-rare/ingredient_list#info-section
La Prairie,moisturizer,night cream,La Prairie Cellular Radiance Night Cream,https://www.skincarisma.com/products/la-prairie/cellular-radiance-night-cream/ingredient_list#info-section
La Prairie,anti-aging,night cream,La Prairie Anti-Aging Night Cream,https://www.skincarisma.com/products/la-prairie/anti-aging-night-cream/ingredient_list#info-section
La Prairie,anti-aging,cream,La Prairie Anti-Aging Stress Cream,https://www.skincarisma.com/products/la-prairie/anti-aging-stress-cream/ingredient_list#info-section
Giorgio Armani,moisturizer,cream,Crema Nera Extrema Obsidian Mineral High Recovery Elixir,https://www.skincarisma.com/products/giorgio-armani/crema-nera-extrema-obsidian-mineral-high-recovery-elixir/ingredient_list#info-section
Chanel,anti-aging,cream,Chanel Le Lift Firming Anti-Wrinkle Creme Riche,https://www.skincarisma.com/products/chanel/le-lift-firming-anti-wrinkle-creme-riche/ingredient_list#info-section
Chanel,anti-aging,cream,Chanel Le Lift Firming Anti-Wrinkle Creme Fine,https://www.skincarisma.com/products/chanel/le-lift-firming-anti-wrinkle-creme-fine/ingredient_list#info-section
Shiseido,anti-aging,cream,Shiseido Future Solution LX Total Regenerating Cream Night,https://www.skincarisma.com/products/shiseido/future-solution-lx-total-regenerating-cream-night/ingredient_list#info-section
