Brand,Function,Category,Name,link,index,0
La Mer,moisturizer,cream,La Mer Crème De La Mer,https://www.skincarisma.com/products/la-mer/creme-de-la-mer/ingredient_list#info-section,La Mer Crème De La Mer,"['Niacin', 'Beta-Carotene', 'Decyl Oleate', 'Panthenol', 'Magnesium Gluconate', 'Magnesium Sulfate', 'Magnesium Stearate', 'Microcrystalline Wax', 'Fucus Vesiculosus Extract', 'Cyanocobalamin', 'Sodium Gluconate', 'Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal', 'Octyldodecanol', 'Isohexadecane', 'Medicago Sativa (Alfalfa) Seed Powder', 'Sesamum Indicum (Sesame) Seed', 'Sesamum Indicum (Sesame) Seed Oil', 'Calcium Gluconate', 'Glycerin', 'Paraffin', 'Potassium Gluconate', 'Helianthus Annuus (Sunflower) Seedcake', 'Citric Acid', 'Eucalyptus Globulus Leaf Oil', 'Copper Gluconate', 'Lanolin Alcohol', 'Citrus Aurantifolia (Lime) Peel Extract', 'Aluminum Distearate', 'Zinc Gluconate', 'Alcohol Denat.', 'Petrolatum', 'Linalool', 'Citronellol', 'Limonene', 'Methylchloroisothiazolinone', 'Methylisothiazolinone', 'Benzyl Salicylate', 'Citral', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Mineral Oil', 'Tocopheryl Succinate']"
La Mer,moisturizer,cream,La Mer The Moisturizing Gel Cream,https://www.skincarisma.com/products/la-mer/the-moisturizing-gel-cream/ingredient_list#info-section,La Mer The Moisturizing Gel Cream,"['Glyceryl Polymethacrylate', 'Niacin', 'Disodium EDTA', 'Magnesium Gluconate', 'Fucus Vesiculosus Extract', 'Sodium Gluconate', 'Sorbitol', 'Sucrose', 'Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Eucalyptol', 'Medicago Sativa (Alfalfa) Seed Powder', 'Sesamum Indicum (Sesame) Seed', 'Sesamum Indicum (Sesame) Seed Oil', 'Caffeine', 'Calcium Gluconate', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Trehalose', 'Palmitoyl Oligopeptide', 'Potassium Gluconate', 'Helianthus Annuus (Sunflower) Seedcake', 'Oleth-10', 'Copper Gluconate', 'Hydrogenated Lecithin', 'Dimethicone', 'Citrus Aurantifolia (Lime) Peel Extract', 'Cyclopentasiloxane', 'Zinc Gluconate', 'Tocopheryl Acetate (Vitamin E)', 'Potassium Sorbate', 'PEG-8', 'Phenoxyethanol', 'Linalool', 'Citronellol', 'Limonene', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Aloe Barbadensis Leaf Water', 'Tocopheryl Succinate']"
La Mer,moisturizer,cream,La Mer The Moisturizing Lotion,https://www.skincarisma.com/products/la-mer/the-moisturizing-lotion/ingredient_list#info-section,La Mer The Moisturizing Lotion,"['C13-14 Isoparaffin', 'Hibiscus Abelmoschus Extract', 'Glyceryl Dilaurate', 'Glyceryl Distearate', 'Niacin', 'Beta-Carotene', 'Disodium EDTA', 'Linoleic Acid', 'Magnesium Gluconate', 'Fucus Vesiculosus Extract', 'Cyanocobalamin', 'Cetyl Alcohol', 'Sodium Gluconate', 'Butyrospermum Parkii (Shea) Butter', 'Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal', 'Squalane', 'Ethylhexyl Hydroxystearate', 'Eucalyptol', 'Isocetyl Stearoyl Stearate', 'Medicago Sativa (Alfalfa) Seed Powder', 'Sesamum Indicum (Sesame) Seed', 'Calcium Gluconate', 'Butylene Glycol', 'Sodium Hyaluronate', 'Cholesterol', 'Trisodium EDTA', 'Phenyl Trimethicone', 'Potassium Gluconate', 'Polysilicone-11', 'Polyquaternium-24', 'Hyaluronic Acid', 'Helianthus Annuus (Sunflower) Seedcake', 'Helianthus Annuus (Sunflower) Seed Oil', 'Copper Gluconate', 'Dimethicone', 'Laureth-7', 'Citrus Aurantifolia (Lime) Peel Extract', 'Cyclopentasiloxane', 'Steareth-10', 'Zinc Gluconate', 'Tocopheryl Acetate (Vitamin E)', 'Potassium Sorbate', 'Methylparaben', 'Phenoxyethanol', 'Petrolatum', 'Polyacrylamide', 'Linalool', 'Citronellol', 'Limonene', 'Benzyl Benzoate', 'BHT', 'Benzyl Salicylate', 'Citral', 'Geraniol', 'Propylparaben', 'Hydroxycitronellal', 'Fragrance', 'Tocopheryl Succinate']"
La Mer,moisturizer,cream,La Mer The Moisturizing Soft Cream,https://www.skincarisma.com/products/la-mer/the-moisturizing-soft-cream/ingredient_list#info-section,La Mer The Moisturizing Soft Cream,"['C13-14 Isoparaffin', 'Sesamum Indicum (Sesame) Seed Powder', 'Glycosaminoglycans', 'Glucose', 'Glucose Oxidase', 'Glyceryl Distearate', 'Glyceryl Stearate SE', 'Niacin', 'Disodium EDTA', 'Diethylhexyl Succinate', 'Dipalmitoyl Hydroxyproline', 'Lactoperoxidase', 'Crithmum Maritimum Extract', 'Magnesium Gluconate', 'Micrococcus Lysate', 'Fucus Vesiculosus Extract', 'Cyanocobalamin', 'Cetyl Alcohol', 'Sodium Gluconate', 'Butyrospermum Parkii (Shea) Butter', 'Sucrose', 'Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal', 'Sea Salt', 'Adenosine Phosphate', 'Acetyl Carnitine HCl', 'Acetyl Hexapeptide-8', 'Isocetyl Stearoyl Stearate', 'Medicago Sativa (Alfalfa) Seed Powder', 'Water', 'Sesamum Indicum (Sesame) Seed Oil', 'Caffeine', 'Caprylic/Capric Triglyceride', 'Calcium Gluconate', 'Butylene Glycol', 'Sodium PCA', 'Sodium Hyaluronate', 'Glycerin', 'Cholesterol', 'Creatine', 'Chlorella Vulgaris Extract', 'Tetrahexyldecyl Ascorbate', 'Salicornia Herbacea Extract', 'Trehalose', 'Phenyl Trimethicone', 'Pentylene Glycol', 'Glycine Soja (Soybean) Seed Extract', 'Polysilicone-11', 'Polyquaternium-51', 'Plankton Extract', 'Hydrogenated Vegetable Oil', 'Hydroxypropyl Cyclodextrin', 'Hydrolyzed Algin', 'Helianthus Annuus (Sunflower) Seedcake', 'Laminaria Digitata Extract', 'Eucalyptus Globulus Leaf Oil', 'Copper Gluconate', 'Dimethicone', 'Distearyldimonium Chloride', 'Laureth-7', 'Citrus Aurantifolia (Lime) Peel Extract', 'Cyclopentasiloxane', 'Steareth-10', 'Urea', 'Zinc Gluconate', 'Potassium Sorbate', 'Phenoxyethanol', 'Petrolatum', 'Polyacrylamide', 'Linalool', 'Citronellol', 'Limonene', 'BHT', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Lecithin', 'Tocopheryl Succinate']"
Weleda,moisturizer,cream,Weleda Skin Food,https://www.skincarisma.com/products/weleda/skin-food/ingredient_list#info-section,Weleda Skin Food,"['Lanolin', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Beeswax (Cera Alba)', 'Sorbitan Olivate', 'Prunus Amygdalus Dulcis (Sweet Almond) Oil', 'Arginine', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Water', 'Calendula Officinalis Flower Extract', 'Glycerin', 'Polyglyceryl-3 Polyricinoleate', 'Hydrolyzed Beeswax', 'Helianthus Annuus (Sunflower) Seed Oil', 'Alcohol', 'Zinc Sulfate', 'Linalool', 'Limonene', 'Citral', 'Geraniol', 'Coumarin', 'Fragrance', 'Viola Tricolor Extract']"
Nivea,moisturizer,cream,Nivea Crème,https://www.skincarisma.com/products/nivea/creme-9e58dae7-ccac-4817-9407-bb6e64db7c5e/ingredient_list#info-section,Nivea Crème,"['Decyl Oleate', 'Panthenol', 'Magnesium Sulfate', 'Magnesium Stearate', 'Microcrystalline Wax', 'Octyldodecanol', 'Water', 'Glycerin', 'Paraffin', 'Citric Acid', 'Lanolin Alcohol', 'Petrolatum', 'Methylchloroisothiazolinone', 'Methylisothiazolinone', 'Fragrance', 'Aluminum Stearate', 'Mineral Oil']"
Pond's,anti-aging,cream,Pond's Rejuveness Anti-Wrinkle Cream,https://www.skincarisma.com/products/pond-s/rejuveness-anti-wrinkle-cream/ingredient_list#info-section,Pond's Rejuveness Anti-Wrinkle Cream,"['Dimethiconol', 'Disodium EDTA', 'Magnesium Aluminum Silicate', 'Borago Officinalis Seed Oil', 'Cetyl Alcohol', 'Stearic Acid', 'Stearyl Dimethicone', 'Isopropyl Palmitate', 'Isohexadecane', 'Xanthan Gum', 'Water', 'Butylene Glycol', 'Glycerin', 'Phospholipids', 'Hydroxyethylcellulose', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Hydrolyzed Collagen', 'Dimethicone', 'Steareth-2', 'Steareth-21', 'Tocopheryl Acetate (Vitamin E)', 'Polysorbate 60', 'Lactic Acid', 'Methylparaben', 'Ethylhexyl Methoxycinnamate', 'Propylparaben', 'Benzophenone-3 (Oxybenzone)', 'Fragrance', 'Mineral Oil', 'Titanium Dioxide']"
Olay,cream,night cream,Olay Regenerist Night Recovery Cream,https://www.skincarisma.com/products/olay/regenerist-night-recovery-cream,Olay Regenerist Night Recovery Cream,[]
La Prairie,moisturizer,cream,La Prairie White Caviar Illuminating Cream,https://www.skincarisma.com/products/la-prairie/white-caviar-illuminating-cream/ingredient_list#info-section,La Prairie White Caviar Illuminating Cream,"['Glycyrrhiza Glabra (Licorice)', 'Glycine', 'Glycoproteins', 'Glyceryl Stearate', 'Glyceryl Caprylate', 'Honey', 'Dextran', 'Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer', 'Disodium EDTA', 'Resveratrol', 'Behenyl Alcohol', 'Centella Asiatica Extract', 'Cetearyl Olivate', 'Cetyl Alcohol', 'Cetyl Palmitate', 'Sodium Ascorbyl Phosphate', 'Sodium Chloride', 'Sorbitan Stearate', 'Sorbitan Olivate', 'Sorbitan Tristearate', 'Sorbitan Palmitate', 'Sorbitol', 'Equisetum Arvense', 'Stearoxymethicone/Dimethicone Copolymer', 'Stearic Acid', 'Stearyl Alcohol', 'Ammonium Polyacryloyldimethyl Taurate', 'HDI/Trimethylol Hexyllactone Crosspolymer', 'Nelumbo Nucifera Flower Wax', 'Octadecenedioic Acid', 'Isododecane', 'Isohexadecane', 'Panax Ginseng Root', 'Xanthan Gum', 'Water', 'Carbomer', 'Caprylyl Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Propylene Glycol', 'Lepidium Sativum Sprout Extract', 'Tridecyl Stearate', 'Trimethylolpropane', 'Tricaprylin', 'Palmitic Acid', 'Polymethyl Methacrylate', 'Polymethylsilsesquioxane', 'Polysilicone-11', 'Polyisobutene', 'Proline', 'PEG-7 Trimethylolpropane Coconut Ether', 'Hydrogenated Coco-Glycerides', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Hydroxyproline', 'Hexylene Glycol', 'Polygonum Cuspidatum Extract', 'Tuber Magnatum Extract', 'Tetrapeptide-7', 'Tocopherol (Vitamin E)', 'Retinyl Palmitate (Vitamin A)', 'Acrylates Copolymer', 'Dimethicone', 'Cyclopentasiloxane', 'Cetyl PEG/PPG-10/1 Dimethicone', 'Sodium Benzoate', 'Jasminum Officinale (Jasmine) Oil', 'Tocopheryl Acetate (Vitamin E)', 'Polysorbate 20', 'Polysorbate 80', 'PEG-40 Stearate', 'Phenoxyethanol', 'Petrolatum', 'Linalool', 'Citronellol', 'Limonene', 'Benzyl Benzoate', 'Benzyl Salicylate', 'Eugenol', 'Geraniol', 'Fragrance', 'Lecithin', 'Larix Sibirica Wood Extract', 'Boswellia Serrata Gum Extract', 'Palmitoyl Heptapeptide-5', 'Vitis Vinifera (Grape) Vine Extract', 'Tremella Fuciformis Polysaccharide']"
La Prairie,moisturizer,cream,La Prairie Skin Caviar Luxe Cream,https://www.skincarisma.com/products/la-prairie/skin-caviar-luxe-cream/ingredient_list#info-section,La Prairie Skin Caviar Luxe Cream,"['C13-14 Isoparaffin', 'Algae Extract', 'Glycine', 'Glycoproteins', 'Glyceryl Stearate', 'Ascophyllum Nodosum Extract', 'Disodium EDTA', 'Lactobacillus Ferment', 'Malt Extract', 'Methionine', 'Behenyl Alcohol', 'Morus Nigra Root Extract', 'Salvia Officinalis (Sage) Leaf Extract', 'Cetearyl Alcohol', 'Equisetum Arvense Extract', 'Butyrospermum Parkii (Shea) Butter', 'Ascorbyl Palmitate', 'Arginine', 'Ethylhexyl Palmitate', 'Ethoxydiglycol', 'Camellia Oleifera Leaf Extract', 'Panax Ginseng Root Extract', 'Xanthan Gum', 'Water', 'Calendula Officinalis Flower Extract', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Propylene Glycol', 'Caviar Extract', 'Trifluoromethyl C1-4 Alkyl Dimethicone', 'Vitis Vinifera (Grape) Fruit Extract', 'Phospholipids', 'Polyglucuronic Acid', 'Polysilicone-11', 'Hydrolyzed Ulva Lactuca Extract', 'Hydrolyzed Wheat Protein', 'Saxifraga Sarmentosa Extract', 'Scutellaria Baicalensis Root Extract', 'Retinyl Palmitate (Vitamin A)', 'Mica', 'Cyclomethicone', 'Sodium Sulfite', 'Citric Acid', 'Arnica Montana Flower Extract', 'Chlorphenesin', 'Iron Oxides', 'Hydrogenated Lecithin', 'Camellia Sinensis Leaf Extract', 'Dimethicone', 'Laureth-7', 'Cyclopentasiloxane', 'Steareth-2', 'Tocopheryl Acetate (Vitamin E)', 'Potassium Sorbate', 'PEG-100 Stearate', 'Lactic Acid', 'Methylparaben', 'Sodium Metabisulfite', 'Ethylparaben', 'Farnesol', 'Phenoxyethanol', 'Petrolatum', 'Polyacrylamide', 'Linalool', 'Citronellol', 'Triethanolamine', 'Diazolidinyl Urea', 'Limonene', 'Benzyl Benzoate', 'BHT', 'Benzyl Salicylate', 'Butylparaben', 'Citral', 'Eugenol', 'Geraniol', 'Propylparaben', 'Fragrance', 'Malic Acid', 'Aloe Barbadensis Leaf Juice', 'Octyldodecyl Octyldodecanoate', 'Titanium Dioxide', 'Yellow 5 Lake']"
